"year","date","site","transect","coral_genus","percent"
2006,2006-01-12,"Motu Ahi",1,"Montipora",4
2006,2006-01-12,"Motu Ahi",1,"Pocillopora",28
2006,2006-01-12,"Motu Ahi",1,"Porites",0
2006,2006-01-12,"Motu Ahi",1,"other",4
2006,2006-01-12,"Motu Ahi",2,"Acropora",14
2006,2006-01-12,"Motu Ahi",2,"Astrea",0
2006,2006-01-12,"Motu Ahi",2,"Montipora",0
2006,2006-01-12,"Motu Ahi",2,"Pocillopora",36
2006,2006-01-12,"Motu Ahi",2,"Porites",0
2006,2006-01-12,"Motu Ahi",2,"other",0
2006,2006-01-12,"Motu Ahi",3,"Acropora",12
2006,2006-01-12,"Motu Ahi",3,"Astrea",0
2006,2006-01-12,"Motu Ahi",3,"Montipora",0
2006,2006-01-12,"Motu Ahi",3,"Pocillopora",40
2006,2006-01-12,"Motu Ahi",3,"Porites",2
2006,2006-01-12,"Motu Ahi",3,"other",0
2006,2006-01-13,"Nuarei",1,"Acropora",18
2006,2006-01-13,"Nuarei",1,"Astrea",0
2006,2006-01-13,"Nuarei",1,"Montipora",4
2006,2006-01-13,"Nuarei",1,"Pocillopora",26
2006,2006-01-13,"Nuarei",1,"Porites",2
2006,2006-01-13,"Nuarei",1,"other",2
2006,2006-01-13,"Nuarei",2,"Acropora",8
2006,2006-01-13,"Nuarei",2,"Astrea",4
2006,2006-01-13,"Nuarei",2,"Montipora",2
2006,2006-01-13,"Nuarei",2,"Pocillopora",24
2006,2006-01-13,"Nuarei",2,"Porites",6
2006,2006-01-13,"Nuarei",2,"other",4
2006,2006-01-13,"Nuarei",3,"Acropora",34
2006,2006-01-13,"Nuarei",3,"Astrea",0
2006,2006-01-13,"Nuarei",3,"Montipora",0
2006,2006-01-13,"Nuarei",3,"Pocillopora",16
2006,2006-01-13,"Nuarei",3,"Porites",2
2006,2006-01-13,"Nuarei",3,"other",4
2006,2006-01-13,"Pihaena",1,"Acropora",26
2006,2006-01-13,"Pihaena",1,"Astrea",2
2006,2006-01-13,"Pihaena",1,"Montipora",0
2006,2006-01-13,"Pihaena",1,"Pocillopora",18
2006,2006-01-13,"Pihaena",1,"Porites",4
2006,2006-01-13,"Pihaena",1,"other",4
2006,2006-01-13,"Pihaena",2,"Acropora",14
2006,2006-01-13,"Pihaena",2,"Astrea",2
2006,2006-01-13,"Pihaena",2,"Montipora",4
2006,2006-01-13,"Pihaena",2,"Pocillopora",16
2006,2006-01-13,"Pihaena",2,"Porites",0
2006,2006-01-13,"Pihaena",2,"other",0
2006,2006-01-13,"Pihaena",3,"Acropora",30
2006,2006-01-13,"Pihaena",3,"Astrea",0
2006,2006-01-13,"Pihaena",3,"Montipora",0
2006,2006-01-13,"Pihaena",3,"Pocillopora",6
2006,2006-01-13,"Pihaena",3,"Porites",2
2006,2006-01-13,"Pihaena",3,"other",8
2006,2006-01-13,"Temae",1,"Acropora",20
2006,2006-01-13,"Temae",1,"Astrea",0
2006,2006-01-13,"Temae",1,"Montipora",4
2006,2006-01-13,"Temae",1,"Pocillopora",12
2006,2006-01-13,"Temae",1,"Porites",0
2006,2006-01-13,"Temae",1,"other",2
2006,2006-01-13,"Temae",2,"Acropora",8
2006,2006-01-13,"Temae",2,"Astrea",0
2006,2006-01-13,"Temae",2,"Montipora",0
2006,2006-01-13,"Temae",2,"Pocillopora",28
2006,2006-01-13,"Temae",2,"Porites",2
2006,2006-01-13,"Temae",2,"other",4
2006,2006-01-13,"Temae",3,"Acropora",12.24
2006,2006-01-13,"Temae",3,"Astrea",0
2006,2006-01-13,"Temae",3,"Montipora",2.04
2006,2006-01-13,"Temae",3,"Pocillopora",16.33
2006,2006-01-13,"Temae",3,"Porites",0
2006,2006-01-13,"Temae",3,"other",4.08
2006,2006-01-14,"Aroa",1,"Acropora",4
2006,2006-01-14,"Aroa",1,"Astrea",2
2006,2006-01-14,"Aroa",1,"Montipora",2
2006,2006-01-14,"Aroa",1,"Pocillopora",12
2006,2006-01-14,"Aroa",1,"Porites",6
2006,2006-01-14,"Aroa",1,"other",4
2006,2006-01-14,"Aroa",2,"Acropora",4
2006,2006-01-14,"Aroa",2,"Astrea",0
2006,2006-01-14,"Aroa",2,"Montipora",0
2006,2006-01-14,"Aroa",2,"Pocillopora",26
2006,2006-01-14,"Aroa",2,"Porites",6
2006,2006-01-14,"Aroa",2,"other",2
2006,2006-01-14,"Aroa",3,"Acropora",10
2006,2006-01-14,"Aroa",3,"Astrea",0
2006,2006-01-14,"Aroa",3,"Montipora",2
2006,2006-01-14,"Aroa",3,"Pocillopora",14
2006,2006-01-14,"Aroa",3,"Porites",6
2006,2006-01-14,"Aroa",3,"other",6
2006,2006-01-14,"Entre 2 baies",1,"Acropora",26
2006,2006-01-14,"Entre 2 baies",1,"Astrea",0
2006,2006-01-14,"Entre 2 baies",1,"Montipora",0
2006,2006-01-14,"Entre 2 baies",1,"Pocillopora",14
2006,2006-01-14,"Entre 2 baies",1,"Porites",0
2006,2006-01-14,"Entre 2 baies",1,"other",12
2006,2006-01-14,"Entre 2 baies",2,"Acropora",10.2
2006,2006-01-14,"Entre 2 baies",2,"Astrea",2.04
2006,2006-01-14,"Entre 2 baies",2,"Montipora",0
2006,2006-01-14,"Entre 2 baies",2,"Pocillopora",16.33
2006,2006-01-14,"Entre 2 baies",2,"Porites",6.12
2006,2006-01-14,"Entre 2 baies",2,"other",14.28
2006,2006-01-14,"Entre 2 baies",3,"Acropora",20
2006,2006-01-14,"Entre 2 baies",3,"Astrea",0
2006,2006-01-14,"Entre 2 baies",3,"Montipora",2
2006,2006-01-14,"Entre 2 baies",3,"Pocillopora",16
2006,2006-01-14,"Entre 2 baies",3,"Porites",4
2006,2006-01-14,"Entre 2 baies",3,"other",20
2006,2006-01-14,"Tiahura",1,"Acropora",18
2006,2006-01-14,"Tiahura",1,"Astrea",0
2006,2006-01-14,"Tiahura",1,"Montipora",2
2006,2006-01-14,"Tiahura",1,"Pocillopora",14
2006,2006-01-14,"Tiahura",1,"Porites",2
2006,2006-01-14,"Tiahura",1,"other",8
2006,2006-01-14,"Tiahura",2,"Acropora",20
2006,2006-01-14,"Tiahura",2,"Astrea",0
2006,2006-01-14,"Tiahura",2,"Montipora",0
